Payload Size (bytes),Send Time (seconds),Receive Time (seconds),HTTP Response Time (ms)
10,1700636728.2470598,1700636728.2521877,5.127906799316406
20,1700636729.2556772,1700636729.257961,2.283811569213867
40,1700636730.259833,1700636730.2619002,2.067089080810547
80,1700636731.2634425,1700636731.2655172,2.074718475341797
160,1700636732.2674572,1700636732.2697904,2.3331642150878906
10,1700636733.271296,1700636733.273174,1.8780231475830078
20,1700636734.2746081,1700636734.2774677,2.8595924377441406
40,1700636735.2799647,1700636735.2831478,3.183126449584961
80,1700636736.2850266,1700636736.2873275,2.3009777069091797
160,1700636737.2895262,1700636737.2917616,2.23541259765625
10,1700636738.293436,1700636738.2965112,3.075122833251953
20,1700636739.2981951,1700636739.3000736,1.878499984741211
40,1700636740.3015194,1700636740.3037522,2.232789993286133
80,1700636741.3052335,1700636741.3076646,2.431154251098633
160,1700636742.3093462,1700636742.3118916,2.5453567504882812
10,1700636743.313617,1700636743.3159828,2.3658275604248047
20,1700636744.317879,1700636744.3200834,2.204418182373047
40,1700636745.3216546,1700636745.3237936,2.1390914916992188
80,1700636746.3253071,1700636746.3272069,1.89971923828125
160,1700636747.3286498,1700636747.3308058,2.1560192108154297
10,1700636748.3323364,1700636748.3344865,2.1500587463378906
20,1700636749.3366113,1700636749.340509,3.8976669311523438
40,1700636750.342472,1700636750.3444793,2.0072460174560547
80,1700636751.3459868,1700636751.3493319,3.345012664794922
160,1700636752.3516867,1700636752.3541214,2.4347305297851562
